LocationID,Borough,Zone,service_zone,search,latitude,longitude
128,Manhattan,Inwood Hill Park,Boro Zone,"Inwood Hill Park,  New York NYC",40.87227365,-73.92542709
129,Queens,Jackson Heights,Boro Zone,"Jackson Heights,  New York NYC",40.7556561,-73.8857755
130,Queens,Jamaica,Boro Zone,"Jamaica,  New York NYC",40.7127281,-74.0060152
131,Queens,Jamaica Estates,Boro Zone,"Jamaica Estates,  New York NYC",40.71332165,-73.78250595
132,Queens,JFK Airport,Airports,"JFK Airport,  New York NYC",40.6429479,-73.77937337
133,Brooklyn,Kensington,Boro Zone,"Kensington,  New York NYC",40.6462149,-73.970694
134,Queens,Kew Gardens,Boro Zone,"Kew Gardens,  New York NYC",40.7139415,-73.830742
135,Queens,Kew Gardens Hills,Boro Zone,"Kew Gardens Hills,  New York NYC",40.738548,-73.810413
136,Bronx,Kingsbridge Heights,Boro Zone,"Kingsbridge Heights,  New York NYC",40.8725702,-73.9026619
137,Manhattan,Kips Bay,Yellow Zone,"Kips Bay,  New York NYC",40.7395463,-73.9770832
138,Queens,LaGuardia Airport,Airports,"LaGuardia Airport,  New York NYC",40.7757145,-73.87336399
139,Queens,Laurelton,Boro Zone,"Laurelton,  New York NYC",40.6667703,-73.7515212
140,Manhattan,Lenox Hill East,Yellow Zone,"Lenox Hill East,  New York NYC",40.7664366,-73.9590168
141,Manhattan,Lenox Hill West,Yellow Zone,"Lenox Hill West,  New York NYC",40.7664366,-73.9590168
142,Manhattan,Lincoln Square East,Yellow Zone,"Lincoln Square East,  New York NYC",40.7723194,-73.9844012
143,Manhattan,Lincoln Square West,Yellow Zone,"Lincoln Square West,  New York NYC",40.7723194,-73.9844012
144,Manhattan,Little Italy/NoLiTa,Yellow Zone,"Little Italy/NoLiTa,  New York NYC",40.721047,-73.996224
145,Queens,Long Island City/Hunters Point,Boro Zone,"Long Island City/Hunters Point,  New York NYC",40.748699,-73.950235
146,Queens,Long Island City/Queens Plaza,Boro Zone,"Long Island City/Queens Plaza,  New York NYC",40.7415095,-73.9569751
147,Bronx,Longwood,Boro Zone,"Longwood,  New York NYC",40.8162916,-73.8962205
148,Manhattan,Lower East Side,Yellow Zone,"Lower East Side,  New York NYC",40.7159357,-73.9868057
149,Brooklyn,Madison,Boro Zone,"Madison,  New York NYC",40.7120612,-73.9983332
150,Brooklyn,Manhattan Beach,Boro Zone,"Manhattan Beach,  New York NYC",40.57667355,-73.94106733
